0,340,321
1,340,321
2,340,321
3,340,320
4,340,320
5,340,320
6,340,320
7,340,320
8,340,320
9,340,320
10,340,320
11,340,320
12,340,320
13,340,320
14,340,320
15,340,320
16,340,320
17,340,320
18,340,320
19,340,320
20,340,320
21,340,320
22,340,320
23,340,320
24,340,320
25,340,320
26,340,320
27,340,320
28,340,320
29,341,320
30,340,321
31,340,321
32,340,321
33,340,321
34,340,321
35,340,321
36,340,321
37,340,321
38,340,321
39,340,321
40,340,321
41,340,321
42,341,322
43,339,322
44,340,322
45,340,322
46,339,323
47,339,324
48,339,324
49,339,324
50,339,324
51,338,323
52,338,323
53,338,323
54,338,325
55,338,325
56,339,324
57,338,326
58,335,326
59,334,327
60,334,327
61,335,327
62,335,327
63,333,329
64,332,328
65,332,328
66,332,328
67,332,328
68,333,328
69,333,328
70,333,328
71,333,328
72,333,328
73,333,329
74,333,329
75,333,328
76,333,329
77,333,329
78,333,329
79,333,329
80,339,329
81,339,329
82,339,329
83,331,333
84,332,330
85,333,329
86,333,329
87,334,329
88,333,330
89,333,330
90,335,333
91,335,333
92,335,329
93,335,329
94,335,329
95,334,328
96,334,328
97,337,326
98,337,326
99,334,326
100,334,326
101,334,326
102,334,325
103,334,325
104,335,325
105,335,325
106,335,325
107,334,325
108,334,325
109,333,326
110,334,326
111,332,325
112,332,326
113,332,326
114,330,327
115,330,327
116,331,326
117,331,326
118,330,326
119,330,325
120,336,334
121,336,333
122,336,333
123,336,332
124,336,332
125,336,332
126,335,331
127,335,331
128,337,331
129,336,330
130,336,330
131,336,329
132,336,329
133,344,337
134,344,337
135,344,338
136,344,338
137,344,338
138,339,340
139,339,340
140,336,340
141,335,338
142,335,338
143,333,339
144,333,339
145,333,340
146,333,340
147,334,340
148,334,340
149,334,340
150,334,340
151,334,340
152,332,339
153,333,339
154,333,339
155,329,339
156,329,339
157,338,331
158,338,331
159,336,331
160,336,331
161,336,331
162,338,332
163,335,323
164,335,324
165,328,325
166,328,323
167,326,323
168,333,321
169,330,320
170,330,320
171,340,326
172,340,326
173,340,325
174,337,322
175,337,322
176,335,320
